,name,country,region,sub_region,grape_varietal,wine_type,bottle_price,sale_price,description,merchant,address
17, Cupcake Chardonnay,United States,California,Monterey County,Chardonnay,Still wine,$12.19,$8.99,"
A big, rich wine from California’s Central Coast, our full and elegantly textured Chardonnay has decadent levels of butter, cream, bright citrus and vanilla. These layers melt into a balance of oak and subtle spice. This wine epitomizes the Central Coast’s crisp and vibrant Chardonnay character. We use a malolactic fermentation to impart rich buttery flavor, then leave the wine sur lie to achieve a full, soft body. Aging for nine months in premium American oak barrels enhances the golden color, adds creamy texture, and injects nuances of subtle toasty oak and spice.
",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
18,,,,,,,,,,,
19, Pascal Jolivet Sancerre,France,Loire,Central Vineyards,Sauvignon Blanc,Still wine,$29.99,$24.99,"
Pascal Jolivet Sancerre Blanc is sourced from threevineyards in the heart of the appellation. The ”Les Caillottes” vineyard and it’s chalky soils makes up 50% of the blend, followed by the hillside vineyard of ”Les Terres Blanches” at 30% and the limestone and flint riddled vineyard of ”Silex” making up the remaining 20%.
",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
20,,,,,,,,,,,
21, William Hill Cabernet Sauvignon North Coast,United States,California,North Coast,Cabernet Sauvignon,Still wine,$17.99,$12.99,"
William Hill Estate Winery is a special place. In 1978, visionary vineyard developer William Hill saw the incredible potential of the Silverado Bench, where he built his namesake winery. More than three decades later, our winemaker Ralf Holdenried is making modern wines that speak to the unique terroir of this virtually unknown area of southern Napa Valley.
A confluence of characteristics makes our 140-acre estate an ideal vineyard. Set on a benchland - off the valley floor, but below the steeper slopes of the hills - with a southwestern exposure, the vines bask in abundant sunlight. The vineyard is close to the valley floor climatically, but the volcanic soil and the size and vigor of the vines means William Hill is more like a mountaintop vineyard. These elements translate to elegant, expressive red Bordeaux wines.
",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
22, Coppola Directors Cut Chardonnay Russian River,United States,California,Sonoma County,Chardonnay,Still wine,$21.99,$16.99,"
A full-bodied Chardonnay bursting with ripe fruit flavor and prominent oak and spice.
Using only Russian River Valley fruit, we crush the grapes whole-cluster and ferment entirely in French oak barrels to produce a wine with a seductive, round texture and notes of sweet vanilla. This technique also serves to highlight the green apple, honeysuckle and citrus flavors, which are the hallmark of Russian River vineyards.
",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
23,,,,,,,,,,,
24, Robert Mondavi Private Selection Cabernet Sauvignon,United States,California,Central Coast,Cabernet Sauvignon,Still wine,$9.97,$8.97,"
There’s 20 degrees difference between our northern and southern vineyards, though it’s only 40 miles. So, whether grapes like it cool or warm, like our Central Coast Cabernet Sauvignon, they all grow up delicious.
",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
25, Bolla Soave,Italy,Veneto,Soave,"Garganega,Trebbiano",Still wine,$18.49,$14.99,"
Soave means “soft” in Italian, and the soft floral bouquet and clean pear and lemon flavors help this wine live up to its name.  A delicate almond aftertaste makes it the perfect quaff to lighter fare like grilled seafood, chicken, fish-based pastas, and entree salads. It also makes a perfect aperitif.
",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
26, Santa Margherita Pinot Grigio,Italy,Trentino-Alto Adige,Alto Adige,Pinot Gris,Still wine,$32.99,$21.99,"
Crafted in the Northern Italian region of Alto Adige, this crisp, elegant wine was introduced to the United States by Anthony Terlato in 1979. Thirty-six years later, Santa Margherita remains the most requested Pinot Grigio. A true classic, Santa Margherita Pinot Grigio is perfect for entertaining and pairs beautifully with a wide variety of dishes. Santa Margherita Pinot Grigio is the benchmark by which all other Pinot Grigios are judged and continues to be requested by name.
",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
27,,,,,,,,,,,
28, Rodney Strong Cabernet Sauvignon Sonoma,United States,California,Sonoma County,Cabernet Sauvignon,Still wine,$22.19,$17.99,"
Our story begins more than 50 years ago, when a celebrated American dancer named Rod Strong settled in Sonoma County to pursue a second lifelong creative passion: winemaking. Rodney Strong Vineyards was the 13th winery bonded in the newly discovered Sonoma County wine industry. A trio of winemaking paths crossed when Rick Sayre joined the team as Winemaker in 1979, and again when the Klein Family, 4th generation California farmers, purchased the winery in 1989 and initiated a renewed commitment of modern artisan winemaking. Through the years, Rodney Strong Vineyards has earned the reputation for critically acclaimed Single Vineyard and Reserve wines, stand out Estate releases and best-in-class Sonoma County varietal wines.
",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
29,,,,,,,,,,,
30, La Crema Russian River Valley Pinot Noir,United States,California,Sonoma County,Pinot Noir,Still wine,$38.99,$29.99,"
the series: appellation series
At La Crema, we arerather passionate about terroir. Especially when it comes to Pinot Noir. The In general, terroir conveys the unique characteristics of a site – everything from soil, wind and temperature to the neighboring eucalyptus trees or distance from the sea. For Pinot Noir in particular, it means the subtle expressiveness and texture of one site literally cannot be duplicated elsewhere. Produced in limited quantities, our Appellation Pinot Noirs are rooted in this concept: four exceptional cool-climate growing areas offering clearly
different expressions of this alluring varietal.
the place: russian river valley
Pinot Noir’s temperamental and fragile nature makes it a challenge from vine to bottle. Russian River Valley offers the ideal climate for Pinot to reveal its brilliance. Cool coastal fog rolls over the vineyards each evening and the fruit ripens at a leisurely pace in the moderate climate. Concentrated, small berries literally burst with flavor, wrapped up in heady spice and plush, round texture. For this release, our winemaker focuses on creating a complex, layered blend that marries the particular flavors, aromas, and structural characteristics of different vineyard sites within the appellation.
",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
31,,,,,,,,,,,
32,,,,,,,,,,,
33, Freixenet Brut Cordon Negro,Spain,Catalunya,Cava,"Macabeo,Parellada,Xarel.Lo",Sparkling,$15.19,$10.99,"
Harvested by hand, the selection of ripening grapes in Freixenet’s vineyards reaches across the span of several months. From the end of August for the harvest of the warm weather Macabeu grapes, through the beginning of October for the higher elevation Parellada variety, our winemaker awaits the perfect time to gather each bunch, letting the vines tell him when they are ready. The first fermentation is nurtured in stainless steel tanks at controlled temperatures between 57°- 60°F. Exclusively initiated from our own Freixenet cultures, the first fermentation is introduced into the tanks. After 10 to 12 days, the wine is racked and clarified as the blend is readied for bottling. The secondary fermentation finds the bottles of Cordon Negro cradled in the perfectly chilled caves for up to 18 months
",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
34,,,,,,,,,,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,,,,,,,,,,,
39,,,,,,,,,,,
40, Rombauer Chardonnay,United States,California,Carneros,Chardonnay,Still wine,$52.69,$36.03,"
Rombauer Vineyards began producing Chardonnay in 1982. In 1990, the family made their first Chardonnay from the Carneros region, where San Pablo Bay meets the southern end of Napa and Sonoma valleys. There, the cool climate and clay soils offer ideal conditions for growing superior Chardonnay with the Rombauer hallmarks - intense fruit flavors balanced by fresh acidity.
VINEYARDS
The fruit for this wine comes from vineyards in the Carneros region owned by the Rombauer family and select growers including the Sangiacomo family, long-term grower partners who have farmed this land for three generations.
",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
41, La Crema Pinot Noir Sonoma,United States,California,Sonoma County,Pinot Noir,Still wine,$26.99,$19.99,"
THE SERIES: SONOMA COAST
Since 1979, La Crema has crafted the traditional wine varietals of Burgundy in the cool vineyards of the Sonoma Coast. This coastal region’s boundary begins at the Mendocino County border, continues along the western coastal edge of Sonoma County through the mouth of the Russian River Valley; and extends to the Los Carneros region on the southern Sonoma/Napa border. Our Sonoma Coast wines are a tribute to the tremendously fresh, concentrated and layered palette of flavors offered
by these coastal vineyards. Crafted one barrel at a time at our family-owned winery, Sonoma Coast wines offer exceptional balance and fruit intensity.
THE PLACE: SONOMA COAST
Like the Burgundy wine region of France, the vineyards of the Sonoma Coast offer an unusually long, cool and steady growing season. Lingering fog and wind from the nearby Pacific Ocean moderate temperatures throughout the season and slow the ripening process. With an extended “hang” time on the vines, the results at harvest are small berries with firm acidity and highly concentrated varietal aromas and flavors.
",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
42,,,,,,,,,,,
43, Robert Mondavi Private Selection Bbn Brl Chardonnay,United States,California,Monterey County,Chardonnay,Still wine,$18.19,$13.99,"
Robert Mondavi established his namesake winery in 1966 with a vision to create Napa Valley wines that would stand in the company of the world’s finest. He chose To Kalon Vineyard in the heart of the Napa Valley as the home for Robert Mondavi Winery. This first-growth vineyard, located in Oakville, California, is renowned for producing some of the finest Cabernet Sauvignon wines in the world, as well as for its Sauvignon Blanc grapes, from which Mr. Mondavi crafted his signature wine, Fume Blanc.

Along with To Kalon Vineyard, Robert Mondavi Winery sources grapes from some of Napa Valley’s finest vineyards, including Stag’s Leap (Cabernet Sauvignon and Sauvignon Blanc) and Carneros (Pinot Noir and Chardonnay).

Mr. Mondavi believed that wines should reflect their origins, that they are the product of the soil, the climate, and the careful stewardship of those precious resources. He also believed in combining the newest techniques and technology with time-honored winemaking traditions.

Our winemaking and vineyard teams are proud to carry on our founder’s mandate to always strive higher, to pursue Robert Mondavi’s goal of excellence with the same passion and innovative spirit, moving forward with programs that break barriers and open new frontiers.
",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
44, Chateau Larose Trintaudon Haut Medoc Cru Bourgeois,France,Bordeaux,Haut Medoc,Bordeaux Blend,Still wine,$22.99,$19.99,"
Alcohol level:  13.5%
Grape composition:  48% Merlot, 46% Cabernet Sauvignon, 6% Petit Verdot
",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
45,,,,,,,,,,,
46, Columbia Crest H3 Merlot,United States,Washington,Columbia Valley,Merlot,Still wine,$18.19,$13.99,"
From vineyard to crush, the Two Vines designation speaks to our method of vine trellising which positions grape clusters for optimum sun exposure, resulting in approachable wines with richer flavor, brighter color and an expression of fruit that’s perfect for every day
enjoyment. Warm days and cool nights help to create wines that are approachable, and enjoyable, with an outstanding value. Evidence of our commitment to producing quality wines is clear - Two Vines wines have earned over 85 “Best Value” and “Best Buy” designations
from leading wine publications.
",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
47,,,,,,,,,,,
48, Louis Jadot Macon Villages Chardonnay,France,Burgundy,Maconnais,Chardonnay,Still wine,$16.69,$12.99,"
From the start, Maison Louis Jadot has always accorded equal importance to each of Burgundy’s appellations, from Grand Crus right through to regional wines. Our aim is to express the true nature of Burgundy through our wines, a terroir that can be both proud of its past and optimistic about its future.In order to produce wines that celebrate their terroir, Frederic Barnier works with a team: Cyril and Audrey. Together they have a large part to play in determining the success of our enterprise. Each influences the creation of our wines with their own particular set of skills, whether technical or commercial, thereby ensuring that Maison Jadot has a bright future ahead of it.
",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
49, Chateau Beauchene Cote du Rhone Grand Reserve,France,Rhone,Cotes du Rhone,Red Rhone Blend,Still wine,,$13.99,"
This wine is perfect with meats and cheeses, and is well suited to the southern French cuisine.
",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
50, J. Lohr Falcons Perch Pinot Noir,United States,California,Monterey County,Pinot Noir,Still wine,$18.19,$13.99,"
J. Lohr was founded four decades ago by Jerry Lohr. Still family-owned and operated today, J. Lohr Vineyards & Wines sustainably farms 4,000 acres of estate vineyards in Paso Robles, Monterey County’s Arroyo Seco and Santa Lucia Highlands appellations, and St. Helena in the Napa Valley. The company’s dedication to its pillars of ”Family, Place, and Craft” is evidenced by its vintage-to-vintage track record of quality, innovation, and category leadership. J. Lohr crafts five tiers of award-winning wines showcasing its estate fruit: J. Lohr Estates, J. Lohr Vineyard Series, J. Lohr Cuvee Series, J. Lohr Gesture, and J. Lohr Signature Cabernet Sauvignon.
",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
51,,,,,,,,,,,
52, La Marca Prosecco 3-Pack,Italy,Veneto,Prosecco,Glera,Sparkling,,$14.99,"
Titratable Acidity: 0.58g/100ml
pH: 3.2
Alcohol Level: 11.3%
Residual Sugar: 1.7g/100ml
",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
53,,,,,,,,,,,
54, Ruffino Chianti Superiore,Italy,Tuscany,Chianti,Sangiovese,Still wine,$13.99,$9.97,"
With its long history , Ruffino is a living symbol of the quality progress which the entire Italian wine sector has undertaken through the twentieth century.
Ruffino’s production philosophy is based on two leading concepts: The quality of its wines and the expression of the territories where these wines are produced - a winemaking art which Ruffino has refined throughout the decades.
With the desire to bring the best quality the Tuscan territory has to offer to wine lovers all over the world, Ruffino has contributed significantly to the creation of the fine image which Italian winemaking holds on the international wine scene today.
Chianti Ruffino, followed by Riserva Ducale, was one of the very first wines to cross the Italian border and introduce Italian wine to the world.
Present in over 85 countries covering 5 continents, Ruffino is an international leader of great wines ”Made in Italy!
",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
55,,,,,,,,,,,
56,,,,,,,,,,,
57, Castellare Chianti Classico DOCG,Italy,Tuscany,Chianti,Sangiovese,Still wine,,$23.99,"
Castellare is one of the many Chianti Classico estates that flies under the radar. Readers will find much to admire in these classically inspired wines, including a terrific edition of the flagship I Sodi di San Niccolo, which remains one of the most iconic pure Sangioveses in Tuscany. This is a strong lineup from proprietor Paolo Panerai and winemaker Alessandro Cellai.

- From Chianti Classico 2015 & 2016: Right Place, Right Time (Feb 2019) by Antonio Galloni
",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
58, Cloudline Pinot Noir,United States,Oregon,Willamette Valley,Pinot Noir,Still wine,,$19.99,"
Pinot Noir is well-suited to pair with poultry, beef, fish, ham, lamb and pork. It will play well with creamy sauces, spicy seasonings and may just be one of the world’s most versatile food wines.
",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
59, Decoy Cabernet Sauvignon,United States,California,Sonoma County,Cabernet Sauvignon,Still wine,$19.99,$16.97,"
Co-founded by Dan and Margaret Duckhorn in 1976, Duckhorn Vineyards has spent more than 30 years establishing itself as one of North America’s premier producers of Bordeaux varietal wines. From its modest inaugural vintage of 800 cases of Cabernet Sauvignon and 800 cases of Merlot in 1978, to its addition of Sauvignon Blanc in 1982, Duckhorn Vineyards has crafted a tradition of quality and excellence that continues today.
",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
60, Chateau Lamartine Cahors Prestige du Malbec,France,South West France,Cahors,Malbec,Still wine,,$15.99,"
Born in the Chateau itself, the current winemaker/owner, Alain Gayraud, took over from his grandparents in 1975. Encompassing 28 hectares of vines that range in age from 20 to 120 years old, the Domaine is in the westernmost reaches of the Cahor appellation, making Chateau Lamartine the only Cahors domaine that benefits from the influence of the Atlantic. Here, the vineyards occupy the best micro-climate along the Lot River, all with southern exposure on the oldest terraces in the appellation, where the soil consists of a limestone base with a plethora of stones.
At Chateau Lamartine, Gayraud farms lutte raisonnee and spends 2,000 hours per vintage green harvesting, to attain the naturally low yields he seeks. The roots express great depth, so the vines are rarely over stressed, yielding balanced wines, even in the hottest of years.
",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
61,,,,,,,,,,,
62,,,,,,,,,,,
63,,,,,,,,,,,
64,,,,,,,,,,,
65,,,,,,,,,,,
66,,,,,,,,,,,
67,,,,,,,,,,,
68, Buena Vista Chateau Buena Vista Cabernet Sauvignon,United States,California,Napa County,Cabernet Sauvignon,Still wine,$44.99,$34.99,"
In the 1860’s Buena Vista covered more than 6,000 acres that ran up into the foothills and into Napa County. In 1861, our founder, Count Haraszthy, journeyed to Europe to procure the finest grapevines. While in Bordeaux, he declared “Cabernet Sauvignon is its unsurpassed grape; the wine made of it possesses splendid color and an exquisite bouquet.’ Bringing choice cuttings back to California, he propagated them at Buena Vista and bringing Cabernet Sauvignon to the Napa Valley. We celebrate Buena Vista’s historic contribution to Napa wine by offering this rich, dense and opulent Napa Valley Cabernet Sauvignon.
The inaugural release of the Chateau Buena Vista Cabernet Sauvignon celebrates and honors Buena Vista’s indelible presence and significant contributions to the California wine world. Buena Vista has returned to Napa Valley, where Cabernet is the King, if not the Count. Sourced from vineyards from Yountville to St. Helena, the wine was aged for 28 months before being racked and aged an additional four months in French oak barrels, 40% new, for final aging. It was then bottled unfiltered.
The wine hails from vineyards throughout the Napa Valley, and is a rich and opulent Napa red wine with intensity, structure and power. It opens with rich aromas of black cherry and cardamom with a touch of black licorice. Spreading across the palate are flavors of red plum, black currant and cherry. The fine-grained tannins are silky and soft with a full-bodied mouthfeel and a long, lingering finish.
",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
69, Robert Mondavi Private Selection Pinot Noir,United States,California,Central Coast,Pinot Noir,Still wine,$12.49,$8.99,"
Unlike other reds, Pinot Noir grapes prefer the cool northern Central Coast over the warm southern region. Fussy grape, unfussy wine.
",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
70,,,,,,,,,,,
71, 14 Hands Cabernet Sauvignon,United States,Washington,Columbia Valley,Cabernet Sauvignon,Still wine,$15.19,$10.99,"
The inspiration for 14 Hands wines recalls a time when wild mustangs once freely roamed the hills of eastern Washington State. These small horses, measuring a scant 14 hands high - a “hand” being equivalent to a man’s palm width and how horses were measured then - would travel down from the hills every day to drink from the mighty Columbia River and graze upon the luscious waist high grasses along the riverbank, and then retreat back up into the hills to cool off at night. Strong and tenacious, these little horses became known for their endurance and were revered around the world.
This unique and beautiful landscape that gave these unbridled horses their spirit and tenacity now feeds our vines. With loamy-sand and gravel soils, these hills require a strong and determined grapevine, and our 14 Hands vines revel in this unique and world class terroir. With the fruit from these tenacious vines, 14 Hands wines are handcrafted into big, bold, juicy fruit forward reds and crisp, fruit forward white wines that are laced with the unbridled spirit and legend of the region.
14 Hands celebrates the spirit of these wild horses, and the rich and unique history of Washington wines not only in our wines, but also in the vibrant colors and images on our popular varietal labels and our new Hot to Trot red and white blend wines. Whether you enjoy 14 Hands by the glass in your favorite restaurant, or share a bottle with family or friends, our wines are the quintessential Washington wine experience – fruit-forward, easily enjoyable with any meal or on any occasion, and delivering a superb value for the price. Bringing this bottle of wine to the party is more than bringing just a wine – it’s a delicious wine with a unique story that’s sure to spark up a memorable conversation.
",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
72,,,,,,,,,,,
73,,,,,,,,,,,
74,,,,,,,,,,,
75, Castellare Chianti Classico DOCG,Italy,Tuscany,Chianti,Sangiovese,Still wine,,$23.99,"
Castellare is one of the many Chianti Classico estates that flies under the radar. Readers will find much to admire in these classically inspired wines, including a terrific edition of the flagship I Sodi di San Niccolo, which remains one of the most iconic pure Sangioveses in Tuscany. This is a strong lineup from proprietor Paolo Panerai and winemaker Alessandro Cellai.

- From Chianti Classico 2015 & 2016: Right Place, Right Time (Feb 2019) by Antonio Galloni
",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
76, Cloudline Pinot Noir,United States,Oregon,Willamette Valley,Pinot Noir,Still wine,,$19.99,"
Pinot Noir is well-suited to pairwith poultry, beef, fish, ham, lamb and pork. It will play well with creamy sauces, spicy seasonings and may just be one of the world’s most versatile food wines.
",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
77, Decoy Cabernet Sauvignon,United States,California,Sonoma County,Cabernet Sauvignon,Still wine,$19.99,$16.97,"
Co-founded by Dan and Margaret Duckhorn in 1976, Duckhorn Vineyards has spent more than 30 years establishing itself as one of North America’s premier producers of Bordeaux varietal wines. From its modest inaugural vintage of 800 cases of Cabernet Sauvignon and 800 cases of Merlot in 1978, to its addition of Sauvignon Blanc in 1982, Duckhorn Vineyards has crafted a tradition of quality and excellence that continues today.
",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
78, Chateau Lamartine Cahors Prestige du Malbec,France,South West France,Cahors,Malbec,Still wine,,$15.99,"
Born in the Chateau itself, the current winemaker/owner, Alain Gayraud, took over from his grandparents in 1975. Encompassing 28 hectares of vines that range in age from 20 to 120 years old, the Domaine is in the westernmost reaches of the Cahor appellation, making Chateau Lamartine the only Cahors domaine that benefits from the influence of the Atlantic. Here, the vineyards occupy the best micro-climate along the Lot River, all with southern exposure on the oldest terraces in the appellation, where the soil consists of a limestone base with a plethora of stones.
At Chateau Lamartine, Gayraud farms lutte raisonnee and spends 2,000 hours per vintage green harvesting, to attain the naturally low yields he seeks. The roots express great depth, so the vines are rarely over stressed, yielding balanced wines, even in the hottest of years.
",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
79,,,,,,,,,,,
80,,,,,,,,,,,
81,,,,,,,,,,,
82,,,,,,,,,,,
83,,,,,,,,,,,
84,,,,,,,,,,,
85,,,,,,,,,,,
86, Buena Vista Chateau Buena Vista Cabernet Sauvignon,United States,California,Napa County,Cabernet Sauvignon,Still wine,$44.99,$34.99,"
In the 1860’s Buena Vista covered more than 6,000 acres that ran up into the foothills and into Napa County. In 1861, our founder, Count Haraszthy, journeyed to Europe to procure the finest grapevines. While in Bordeaux, he declared “Cabernet Sauvignon is its unsurpassed grape; the wine made of it possesses splendid color and an exquisite bouquet.’ Bringing choice cuttings back to California, he propagated them at Buena Vista and bringing Cabernet Sauvignon to the Napa Valley. We celebrate Buena Vista’s historic contribution to Napa wine by offering this rich, dense and opulent Napa Valley Cabernet Sauvignon.
The inaugural release of the Chateau Buena Vista Cabernet Sauvignon celebrates and honors Buena Vista’s indelible presence and significant contributions to the California wine world. Buena Vista has returned to Napa Valley, where Cabernet is the King, if not the Count. Sourced from vineyards from Yountville to St. Helena, the wine was aged for 28 months before being racked and aged an additional four months in French oak barrels, 40% new, for final aging. It was then bottled unfiltered.
The wine hails from vineyards throughout the Napa Valley, and is a rich and opulent Napa red wine with intensity, structure and power. It opens with rich aromas of black cherry and cardamom with a touch of black licorice. Spreading across the palate are flavors of red plum, black currant and cherry. The fine-grained tannins are silky and soft with a full-bodied mouthfeel and a long, lingering finish.
",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
87, Robert Mondavi Private Selection Pinot Noir,United States,California,Central Coast,Pinot Noir,Still wine,$12.49,$8.99,"
Unlike other reds, Pinot Noir grapes prefer the cool northern Central Coast over the warm southern region. Fussy grape, unfussy wine.
",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
88,,,,,,,,,,,
89, 14 Hands Cabernet Sauvignon,United States,Washington,Columbia Valley,Cabernet Sauvignon,Still wine,$15.19,$10.99,"
The inspiration for 14 Hands wines recalls a time when wild mustangs once freely roamed the hills of eastern Washington State. These small horses, measuring a scant 14 hands high - a “hand” being equivalent to a man’s palm width and how horses were measured then - would travel down from the hills every day to drink from the mighty Columbia River and graze upon the luscious waist high grasses along the riverbank, and then retreat back up into the hills to cool off at night. Strong and tenacious, these little horses became known for their endurance and were revered around the world.
This unique and beautiful landscape that gave these unbridled horses their spirit and tenacity now feeds our vines. With loamy-sand and gravel soils, these hills require a strong and determined grapevine, and our 14 Hands vines revel in this unique and world class terroir. With the fruit from these tenacious vines, 14 Hands wines are handcrafted into big, bold, juicy fruit forward reds and crisp, fruit forward white wines that are laced with the unbridled spirit and legend of the region.
14 Hands celebrates the spirit of these wild horses, and the rich and unique history of Washington wines not only in our wines, but also in the vibrant colors and images on our popular varietal labels and our new Hot to Trot red and white blend wines. Whether you enjoy 14 Hands by the glass in your favorite restaurant, or share a bottle with family or friends, our wines are the quintessential Washington wine experience – fruit-forward, easily enjoyable with any meal or on any occasion, and delivering a superb value for the price. Bringing this bottle of wine to the party is more than bringing just a wine – it’s a delicious wine with a unique story that’s sure to spark up a memorable conversation.
",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
90,,,,,,,,,,,
91,,,,,,,,,,,
92,,,,,,,,,,,
93, Castellare Chianti Classico DOCG,Italy,Tuscany,Chianti,Sangiovese,Still wine,,$23.99,"
Castellare is one of the many Chianti Classico estates that flies under the radar. Readers will find much to admire in these classically inspired wines, including a terrific edition of the flagship I Sodi di San Niccolo, which remains one of the most iconic pure Sangioveses in Tuscany. This is a strong lineup from proprietor Paolo Panerai and winemaker Alessandro Cellai.

- From Chianti Classico 2015 & 2016: Right Place, Right Time (Feb 2019) by Antonio Galloni
",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
94, Cloudline Pinot Noir,United States,Oregon,Willamette Valley,Pinot Noir,Still wine,,$19.99,"
Pinot Noir is well-suited to pair with poultry, beef, fish, ham, lamb and pork. It will play well with creamy sauces, spicy seasonings and may just be one of the world’s most versatile food wines.
",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
95, Decoy Cabernet Sauvignon,United States,California,Sonoma County,Cabernet Sauvignon,Still wine,$19.99,$16.97,"
Co-founded by Dan and Margaret Duckhorn in 1976, Duckhorn Vineyards has spent more than 30 years establishing itself as one of North America’s premier producers of Bordeaux varietal wines. From its modest inaugural vintage of 800 cases of Cabernet Sauvignon and 800 cases of Merlot in 1978, to its addition of Sauvignon Blanc in 1982, Duckhorn Vineyards has crafted a tradition of quality and excellence that continues today.
",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
