name,country,region,sub_region,grape_varietal,wine_type,bottle_price,sale_price,description,merchant,address
 Robert Mondavi Woodbridge Cabernet Sauvignon,United States,California,N/A,Cabernet Sauvignon,Still wine,$18.19,$12.99,"Aromas of juicy plums marry with notes of herb and rich cedar in our elegant Woodbridge Cabernet Sauvignon. Deep flavors of blackberry and tobacco give this wine excellent balance, with oak aging adding a toasty, caramelized quality.With a smooth finish, this Cabernet Sauvignon is approachable and delicious with a variety of foods. Enjoy this wine with grilled meats, barbecue ribs, or tomato-based pasta dishes.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Corbett Canyon Cabernet Sauv,United States,California,N/A,Cabernet Sauvignon,Still wine,,$8.99,N/A,Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Sycamore Lane Pinot Grigio,United States,California,N/A,Pinot Gris,Still wine,$5.99,$4.99,"At Trinchero Family Estates, our passion for winemaking and delivering the most inspiring flavors from around the globe began more than 60 years ago. In 1947, brothers John and Mario Trinchero traveled to St. Helena, California, near the renowned Napa Valley growing region, and purchased Sutter Home Winery. With its first Sutter Home harvest in 1948, the Trinchero Family crushed three tons of grapes, beginning a long and fruitful history as one of the world’s leading producers of fine wines.As the Trinchero family expanded, so too did the company. Mario’s son Bob joined the team in 1958, eventually becoming the head winemaker after his uncle John retired. Bob focused on growing his family’s efforts, and just 10 years after coming on board, he helped Sutter Home become the first north coast winery to produce commercial wine from Sierra Foothill grapes. He even developed the revolutionary White Zinfandel varietal, which he perfected through innovation, creativity, and a bit of luck in suffering through a ”stuck” fermentation in 1975. With the help of his brother Roger, his wife Evelyn, and his sister Vera, Bob was able to capitalize on the growing demand for White Zinfandel and expand Sutter Home even further.In the 1980s and 1990s, the Trinchero family continued its efforts to produce high-quality, affordably priced varietal wines by purchasing several more California vineyards in areas with choice weather and soil conditions. The family has never lost sight of Sutter Home’s original philosophy to offer ”a great product for a fair price,” even as it acquired more vineyards and additional wineries.Today, with Roger Trinchero leading the way, Trinchero Family Estates represents over 27 brands in the United States and Australia, including Sutter Home, Little Boomey, Menage a Trois, Napa Cellars, and Trinchero Napa Valley. Sutter Home is also the proud sponsor of the Build a Better Burger contest, which pits culinary contestants in an annual burger cookoff to win cash prizes and bragging rites. In all, the last 60 years have been a period of heavy growth and exciting innovation for the Trinchero family, and we look forward to enjoying many more successful years to come.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Cono Sur Bicicleta Sauvignon Blanc,Chile,Valle Central,N/A,Sauvignon Blanc,Still wine,,$9.99,"This wine is an excellent choice to serve as an aperitif or next to vegetarian combinations. It also goes well with soft and fresh cheeses. A few ideas are crunchy toasts with smoked salmon and ricotta, rice cooked with grilled red peppers, chicken breast with lemon juice, and oyster soup.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Ferrari Carano Merlot,United States,California,Sonoma County,Merlot,Still wine,$22.99,$16.97,"The Merlot is a velvety wine with a complex nose of blueberry pie, raspberry jam, cedar, vanilla and spice. A fleshy and generous mouthfeel is followed by notes of bittersweet chocolate, clove and toffee. This wine has full, generous tannins that coat the palate, impressive length and lasting acidity.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Josh Cabernet Sauvignon,United States,California,N/A,Cabernet Sauvignon,Still wine,$19.69,$14.99,"Tom Larson once owned this single vineyard in the mountains of the Red Hills. This Vineyard is where for the past 10 years, all grapes have been organically grown and sustainably farmed.This appellation sits at the highest section between the Vaca and Mayacamas mountain ranges. The Mayacamas are famous for great Cabernet wine, due in part to ancient pyroclastic soils that contain volcanic glass. Josh Cellars North Coast Vineyards contain obsidian gravel that allows the soils to drain well, which is extremely important for growing Cabernet grapes.The high elevation sunlight combined with the rich volcanic red soils and obsidian fragments produce quality grapes that are extremely unique to the Red Hills. The vineyard itself sits on an East facing slope with varying altitude from 1200 to 2000 feet. The average daytime summer temperature is 84 degrees with an average nighttime temperature of 51 degrees.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Bota Box Cabernet Sauvignon,United States,California,N/A,Cabernet Sauvignon,Still wine,$26.99,$19.99,"Bota Box Cabernet Sauvignon is an ideal partner for barbecued meats, hearty stews or pasta served with marinara sauce.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Cupcake Chardonnay,United States,California,Monterey County,Chardonnay,Still wine,$12.19,$8.99,"A big, rich wine from California’s Central Coast, our full and elegantly textured Chardonnay has decadent levels of butter, cream, bright citrus and vanilla. These layers melt into a balance of oak and subtle spice. This wine epitomizes the Central Coast’s crisp and vibrant Chardonnay character. We use a malolactic fermentation to impart rich buttery flavor, then leave the wine sur lie to achieve a full, soft body. Aging for nine months in premium American oak barrels enhances the golden color, adds creamy texture, and injects nuances of subtle toasty oak and spice.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Carnivor Cabernet Sauvignon,United States,California,N/A,Cabernet Sauvignon,Still wine,$10.99,$9.97,N/A,Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 La Marca Prosecco,Italy,Veneto,Prosecco,Glera,Sparkling,$20.99,$14.99,Titratable Acidity: 0.58g/100mlpH: 3.2Alcohol Level: 11.3%Residual Sugar: 1.7g/100ml,Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Matua Sauvignon Blanc Marlborough,New Zealand,Marlborough,N/A,Sauvignon Blanc,Still wine,$13.69,$9.99,"Matua Valley was founded in a tin shed in 1974 by two brothers, Bill and Ross Spence. The brothers wanted to make wine in New Zealand that was as good as any in the world.As a small, family-run winery in West Auckland, Matua Valley quickly gained a reputation for innovation and producing award-winning New Zealand wines.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Pascal Jolivet Sancerre,France,Loire,Central Vineyards,Sauvignon Blanc,Still wine,$29.99,$24.99,"Pascal Jolivet Sancerre Blanc is sourced from three vineyards in the heart of the appellation. The ”Les Caillottes” vineyard and it’s chalky soils makes up 50% of the blend, followed by the hillside vineyard of ”Les Terres Blanches” at 30% and the limestone and flint riddled vineyard of ”Silex” making up the remaining 20%.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 William Hill Cabernet Sauvignon North Coast,United States,California,North Coast,Cabernet Sauvignon,Still wine,$17.99,$12.99,"William Hill Estate Winery is a special place. In 1978, visionary vineyard developer William Hill saw the incredible potential of the Silverado Bench, where he built his namesake winery. More than three decades later, our winemaker Ralf Holdenried is making modern wines that speak to the unique terroir of this virtually unknown area of southern Napa Valley.A confluence of characteristics makes our 140-acre estate an ideal vineyard. Set on a benchland - off the valley floor, but below the steeper slopes of the hills - with a southwestern exposure, the vines bask in abundant sunlight. The vineyard is close to the valley floor climatically, but the volcanic soil and the size and vigor of the vines means William Hill is more like a mountaintop vineyard. These elements translate to elegant, expressive red Bordeaux wines.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Amelia Brut Rose,France,Bordeaux,N/A,Bordeaux Blend,Sparkling,$20.29,$18.79,N/A,Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Coppola Directors Cut Chardonnay Russian River,United States,California,Sonoma County,Chardonnay,Still wine,$21.99,$16.99,"A full-bodied Chardonnay bursting with ripe fruit flavor and prominent oak and spice.Using only Russian River Valley fruit, we crush the grapes whole-cluster and ferment entirely in French oak barrels to produce a wine with a seductive, round texture and notes of sweet vanilla. This technique also serves to highlight the green apple, honeysuckle and citrus flavors, which are the hallmark of Russian River vineyards.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Robert Mondavi Private Selection Cabernet Sauvignon,United States,California,Central Coast,Cabernet Sauvignon,Still wine,$9.97,$8.97,"There’s 20 degrees difference between our northern and southern vineyards, though it’s only 40 miles. So, whether grapes like it cool or warm, like our Central Coast Cabernet Sauvignon, they all grow up delicious.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 The Palm By Whispering Angel Rose',France,Provence,N/A,Red Rhone Blend,Still wine,$15.99,$13.99,"The Palm is a blend of Grenache, Cynsault and Syrah made from grapes which are selected from the best vineyards in the appellation Coteaux d’Aix-en-Provence.Pale pink with green hues both of which are clear & very expressive. Great aromatic freshness on the nose followed by more subtle, fruity notes on the palate. The freshness is coupled with exceptional length and roundness. Crisp and suave finish.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Santa Margherita Pinot Grigio,Italy,Trentino-Alto Adige,Alto Adige,Pinot Gris,Still wine,$32.99,$21.99,"Crafted in the Northern Italian region of Alto Adige, this crisp, elegant wine was introduced to the United States by Anthony Terlato in 1979. Thirty-six years later, Santa Margherita remains the most requested Pinot Grigio. A true classic, Santa Margherita Pinot Grigio is perfect for entertaining and pairs beautifully with a wide variety of dishes. Santa Margherita Pinot Grigio is the benchmark by which all other Pinot Grigios are judged and continues to be requested by name.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Oyster Bay Sauvignon Blanc,New Zealand,Marlborough,N/A,Sauvignon Blanc,Still wine,$16.69,$11.99,"Throughout harvest, fruit is selected from progressively later ripening vineyard blocks, commencing with the stonier free-draining sites. Upon receipt to the winery, the grapes are destemmed and transferred to the tank presses where the free-run juice is separated and the remaining fruit lightly pressed. The juice is then clarified to a clear state, racked into stainless steel fermentation tanks and then inoculated with a select range of yeasts for added complexity and aromaticity. A slow, temperature controlled fermentation is undertaken and after a short period of yeast lees contact, the wine is racked for final blending, then bottled young to ensure that the fresh, crisp and elegant varietal characters are retained.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Rodney Strong Cabernet Sauvignon Sonoma,United States,California,Sonoma County,Cabernet Sauvignon,Still wine,$22.19,$17.99,"Our story begins more than 50 years ago, when a celebrated American dancer named Rod Strong settled in Sonoma County to pursue a second lifelong creative passion: winemaking. Rodney Strong Vineyards was the 13th winery bonded in the newly discovered Sonoma County wine industry. A trio of winemaking paths crossed when Rick Sayre joined the team as Winemaker in 1979, and again when the Klein Family, 4th generation California farmers, purchased the winery in 1989 and initiated a renewed commitment of modern artisan winemaking. Through the years, Rodney Strong Vineyards has earned the reputation for critically acclaimed Single Vineyard and Reserve wines, stand out Estate releases and best-in-class Sonoma County varietal wines.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Barefoot Pinot Grigio,United States,California,N/A,Pinot Gris,Still wine,$16.59,$11.99,"Great with the three P’s: poultry, (spicy) pasta and pizza!",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 La Crema Russian River Valley Pinot Noir,United States,California,Sonoma County,Pinot Noir,Still wine,$38.99,$29.99,"the series: appellation seriesAt La Crema, we are rather passionate about terroir. Especially when it comes to Pinot Noir. The In general, terroir conveys the unique characteristics of a site – everything from soil, wind and temperature to the neighboring eucalyptus trees or distance from the sea. For Pinot Noir in particular, it means the subtle expressiveness and texture of one site literally cannot be duplicated elsewhere. Produced in limited quantities, our Appellation Pinot Noirs are rooted in this concept: four exceptional cool-climate growing areas offering clearlydifferent expressions of this alluring varietal.the place: russian river valleyPinot Noir’s temperamental and fragile nature makes it a challenge from vine to bottle. Russian River Valley offers the ideal climate for Pinot to reveal its brilliance. Cool coastal fog rolls over the vineyards each evening and the fruit ripens at a leisurely pace in the moderate climate. Concentrated, small berries literally burst with flavor, wrapped up in heady spice and plush, round texture. For this release, our winemaker focuses on creating a complex, layered blend that marries the particular flavors, aromas, and structural characteristics of different vineyard sites within the appellation.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Peter Vella Bg/Bx Cabernet Sauvignon,United States,California,N/A,Cabernet Sauvignon,Still wine,$25.69,$17.99,"Peter Vella combines award-winning flavor and an innovative box design to craft quality wines that maintain a lasting freshness. Winemaker Peter Vella pours 40 years of winemaking expertise into his smooth, easy to enjoy wines at a surprisingly affordable price. These wines stand apart, thanks to richly flavored grapes grown in the warm days and cool nights of California’s celebrated vineyards. Peter Vella recently added a range of delectable beverage wines to its portfolio in three light-bodied, fruit-filled flavors: Delicious White, Delicious Red and Delicious Blush. Hints of ripe berries and red jam combine with the natural fruit flavors to create a light-bodied, refreshing taste that offers consumers a way to explore options beyond the ordinary.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Chateau Bernadotte Haut Medoc 2016,France,Bordeaux,Haut Medoc,Bordeaux Blend,Still wine,,$19.99,N/A,Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Freixenet Brut Cordon Negro,Spain,Catalunya,Cava,"Macabeo,Parellada,Xarel.Lo",Sparkling,$15.19,$10.99,"Harvested by hand, the selection of ripening grapes in Freixenet’s vineyards reaches across the span of several months. From the end of August for the harvest of the warm weather Macabeu grapes, through the beginning of October for the higher elevation Parellada variety, our winemaker awaits the perfect time to gather each bunch, letting the vines tell him when they are ready. The first fermentation is nurtured in stainless steel tanks at controlled temperatures between 57°- 60°F. Exclusively initiated from our own Freixenet cultures, the first fermentation is introduced into the tanks. After 10 to 12 days, the wine is racked and clarified as the blend is readied for bottling. The secondary fermentation finds the bottles of Cordon Negro cradled in the perfectly chilled caves for up to 18 months",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Barefoot Chardonnay,United States,California,N/A,Chardonnay,Still wine,$16.59,$11.99,"Barefoot Chardonnay combines a big, bold flavor with a medium body and smooth finish. Tempting notes of crisp green apples, sweet peaches, and hints of vanilla.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Kikusakari Taru Sake,Japan,Ibaraki,N/A,Rice,Still wine,,$25.99,Rice polishing rate: 65%Rice: Japanese Sake RiceYeast: originalShubo (yeast starter): SokujoAlcohol volume: 15%Sake meter value (nihonshudo): +3Acidity: 1.6Amino acidity: 1.0Reccomended way to drink: room temperature,Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 14 Hands Hot To Trot White,United States,Washington,N/A,Non-Varietal White Blend,Still wine,$13.69,$9.98,"The inspiration for 14 Hands wines recalls a time when wild mustangs once freely roamed the hills of eastern Washington State. These small horses, measuring a scant 14 hands high - a “hand” being equivalent to a man’s palm width and how horses were measured then - would travel down from the hills every day to drink from the mighty Columbia River and graze upon the luscious waist high grasses along the riverbank, and then retreat back up into the hills to cool off at night. Strong and tenacious, these little horses became known for their endurance and were revered around the world.This unique and beautiful landscape that gave these unbridled horses their spirit and tenacity now feeds our vines. With loamy-sand and gravel soils, these hills require a strong and determined grapevine, and our 14 Hands vines revel in this unique and world class terroir. With the fruit from these tenacious vines, 14 Hands wines are handcrafted into big, bold, juicy fruit forward reds and crisp, fruit forward white wines that are laced with the unbridled spirit and legend of the region.14 Hands celebrates the spirit of these wild horses, and the rich and unique history of Washington wines not only in our wines, but also in the vibrant colors and images on our popular varietal labels and our new Hot to Trot red and white blend wines. Whether you enjoy 14 Hands by the glass in your favorite restaurant, or share a bottle with family or friends, our wines are the quintessential Washington wine experience – fruit-forward, easily enjoyable with any meal or on any occasion, and delivering a superb value for the price. Bringing this bottle of wine to the party is more than bringing just a wine – it’s a delicious wine with a unique story that’s sure to spark up a memorable conversation.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Bota Box Chardonnay,United States,California,N/A,Chardonnay,Still wine,$26.99,$19.99,"Enjoy Bota Box Chardonnay as an aperitif or as a complement to angel hair pasta with scallops, fish and chips or grilled chicken Caesar Salad. Serve chilled.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Beringer White Zinfandel,United States,California,N/A,Zinfandel,Still wine,$13.49,$10.99,"At Beringer we know that part of making great wines is caring for the land, animals, and people that make those wines possible. We have had sustainable practices in place since long before sustainable farming become fashionable. All of our owned and leased vineyards are certified sustainable by third parties, and we provide our external growers with the resources they need to achieve sustainable farming practices.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Dark Horse Merlot,United States,California,N/A,Merlot,Still wine,$10.69,$7.98,"At Darkhorse wines, we challenge the belief that premium tasting wines must be premium priced.We search throughout the world’s best growing areas for vineyards that help us achieve the unexpected: To create great wines for the price of good.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Kendall Jackson Chardonnay Grand Reserve,United States,California,N/A,Chardonnay,Still wine,$19.99,$14.99,"Grand Reserve is a winemaker’s blend of our mountain, ridge, hillside and benchland grapes grown along California’s cool coastal appellations. We select grapes from our best estate vineyards and then monitor, taste and guide each individual lot throughout the winemaking process. Each lot is kept separate, barrel-aged and crafted-boutique winery style. Our winemakers have anunmatched palette of flavors, toast levels and terroir nuances from which they masterfully blend these exemplary rich, deep and complex wines.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Silk & Spice Red Blend,Portugal,N/A,N/A,Red Portugese Blend,Still wine,,$9.99,"Silk & Spice represents the exceptional flavors made possible by the Portuguese terroir and indigenous grapes, and also the exotic spices and aromas that Portuguese explorers discovered from the ‘silk and spice’ routes to the far east in the 1500’s.Silk & Spice is a testament to Portugal; and with its quite literal ‘silky and spicy’ taste profile, it is a celebration of Portugal’s capacity for silky, exotic wines with deep, rich layers and intense berry-fruit flavors.The route from Europe to the Indian Ocean - known as the “Silk & Spice Route” - was pioneered by Portuguese explorer Vasco da Gama, who rounded the Cape of Good Hope in 1498. Flavors like nutmeg, cinnamon, cloves and pepper changed world cuisine, while silk from China became prized for its luxurious touch.An original XV century map on the label shows the Bay of Bengal, separating South and Southeast Asia; the Portuguese coat of arms, a historical graphical element dating to 1248; and two caravels, a small, highly maneuverable boat developed by the Portuguese in the 15th century solely to explore the West African coast and arrive at the Indian Ocean.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Rombauer Chardonnay,United States,California,Carneros,Chardonnay,Still wine,$52.69,$36.03,"Rombauer Vineyards began producing Chardonnay in 1982. In 1990, the family made their first Chardonnay from the Carneros region, where San Pablo Bay meets the southern end of Napa and Sonoma valleys. There, the cool climate and clay soils offer ideal conditions for growing superior Chardonnay with the Rombauer hallmarks - intense fruit flavors balanced by fresh acidity.VINEYARDSThe fruit for this wine comes from vineyards in the Carneros region owned by the Rombauer family and select growers including the Sangiacomo family, long-term grower partners who have farmed this land for three generations.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 La Crema Pinot Noir Sonoma,United States,California,Sonoma County,Pinot Noir,Still wine,$26.99,$19.99,"THE SERIES: SONOMA COASTSince 1979, La Crema has crafted the traditional wine varietals of Burgundy in the cool vineyards of the Sonoma Coast. This coastal region’s boundary begins at the Mendocino County border, continues along the western coastal edge of Sonoma County through the mouth of the Russian River Valley; and extends to the Los Carneros region on the southern Sonoma/Napa border. Our Sonoma Coast wines are a tribute to the tremendously fresh, concentrated and layered palette of flavors offeredby these coastal vineyards. Crafted one barrel at a time at our family-owned winery, Sonoma Coast wines offer exceptional balance and fruit intensity.THE PLACE: SONOMA COASTLike the Burgundy wine region of France, the vineyards of the Sonoma Coast offer an unusually long, cool and steady growing season. Lingering fog and wind from the nearby Pacific Ocean moderate temperatures throughout the season and slow the ripening process. With an extended “hang” time on the vines, the results at harvest are small berries with firm acidity and highly concentrated varietal aromas and flavors.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Dark Horse Cabernet Sauvignon,United States,California,N/A,Cabernet Sauvignon,Still wine,$10.69,$7.99,"At Darkhorse wines, we challenge the belief that premium tasting wines must be premium priced.We search throughout the world’s best growing areas for vineyards that help us achieve the unexpected: To create great wines for the price of good.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Robert Mondavi Private Selection Bbn Brl Chardonnay,United States,California,Monterey County,Chardonnay,Still wine,$18.19,$13.99,"Robert Mondavi established his namesake winery in 1966 with a vision to create Napa Valley wines that would stand in the company of the world’s finest. He chose To Kalon Vineyard in the heart of the Napa Valley as the home for Robert Mondavi Winery. This first-growth vineyard, located in Oakville, California, is renowned for producing some of the finest Cabernet Sauvignon wines in the world, as well as for its Sauvignon Blanc grapes, from which Mr. Mondavi crafted his signature wine, Fume Blanc.Along with To Kalon Vineyard, Robert Mondavi Winery sources grapes from some of Napa Valley’s finest vineyards, including Stag’s Leap (Cabernet Sauvignon and Sauvignon Blanc) and Carneros (Pinot Noir and Chardonnay).Mr. Mondavi believed that wines should reflect their origins, that they are the product of the soil, the climate, and the careful stewardship of those precious resources. He also believed in combining the newest techniques and technology with time-honored winemaking traditions.Our winemaking and vineyard teams are proud to carry on our founder’s mandate to always strive higher, to pursue Robert Mondavi’s goal of excellence with the same passion and innovative spirit, moving forward with programs that break barriers and open new frontiers.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
